"Date";"contador";"FromHour";"ToHour";"Sum"
2017-11-08;"1";12;14;102574.912280702
2017-11-08;"1";14;16;102639.732481718
2017-11-08;"1";16;18;34920.7393627936
2017-11-08;"1";18;20;14319.2044886395
2017-11-08;"1";20;22;19076.7499583356
2017-11-08;"1";22;24;86774.9592459107
2017-11-09;"1";0;2;76869.7721191992
2017-11-09;"1";2;4;3452.5
2017-11-09;"1";4;6;3452.5
2017-11-09;"1";6;8;3452.5
2017-11-09;"1";8;10;2713.16666666667
2017-11-09;"1";10;12;78871.6733481811
2017-11-09;"1";12;14;102638.714179658
2017-11-09;"1";14;16;102554.666666667
2017-11-09;"1";16;18;76145.9617799011
2017-11-09;"1";18;20;2579.85667462919
2017-11-09;"1";20;22;2579.85667462919
2017-11-09;"1";22;24;59812.6585031649
2017-11-10;"1";0;2;87791.2686443027
2017-11-10;"1";2;4;35527.9923361002
2017-11-10;"1";4;6;10167.4712603758
2017-11-10;"1";6;8;10167.4712603758
2017-11-10;"1";8;10;10167.4712603758
2017-11-10;"1";10;12;34882.4262145503
2017-11-10;"1";12;14;102583.32887899
2017-11-10;"1";14;16;76415.9416076416
2017-11-10;"1";16;18;4729.78102865608
2017-11-10;"1";18;20;4729.78102865608
2017-11-10;"1";20;22;4785.83942101446
2017-11-10;"1";22;24;80259.2594030127
2017-11-11;"1";0;2;30602.3908907866
2017-11-11;"1";2;4;12192.1557743957
2017-11-11;"1";4;6;1418.08415398389
2017-11-11;"1";6;8;1418.08415398389
2017-11-11;"1";8;10;1418.08415398389
2017-11-11;"1";10;12;1418.08415398389
2017-11-11;"1";12;14;77865.5529692629
2017-11-11;"1";14;16;76007.986252864
2017-11-11;"1";16;18;4247.44844823995
2017-11-11;"1";18;20;4247.44844823995
2017-11-11;"1";20;22;4247.44844823995
2017-11-11;"1";22;24;4247.44844823995
2017-11-12;"1";0;2;30963.4739544328
2017-11-12;"1";2;4;9254.20631247806
2017-11-12;"1";4;6;23022.7904391329
2017-11-12;"1";6;8;44709.5437351867
2017-11-12;"1";8;10;76860.6495081696
2017-11-12;"1";10;12;2410.33476871788
2017-11-12;"1";12;14;2410.33476871788
2017-11-12;"1";14;16;2410.33476871788
2017-11-12;"1";16;18;2410.33476871788
2017-11-12;"1";18;20;2410.33476871788
2017-11-12;"1";20;22;17223.5788303931
2017-11-12;"1";22;24;93321.3647711512
2017-11-13;"1";0;2;16451.756097561
2017-11-13;"1";2;4;14961.0354724905
2017-11-13;"1";4;6;9702.21635517265
2017-11-13;"1";6;8;9702.21635517265
2017-11-13;"1";8;10;9702.21635517265
2017-11-13;"1";10;12;32782.3831129135
2017-11-13;"1";12;14;93533.6630625635
2017-11-13;"1";14;16;89635.6165093467
2017-11-13;"1";16;18;100285.997779012
2017-11-13;"1";18;20;25314.3414634146
2017-11-13;"1";20;22;1756.09756097561
2017-11-13;"1";22;24;1756.09756097561
2017-11-14;"1";0;2;36306.6411182079
2017-11-14;"1";2;4;79075.9095170307
2017-11-14;"1";4;6;9772.16068886497
2017-11-14;"1";6;8;9772.16068886497
2017-11-14;"1";8;10;9772.16068886497
2017-11-14;"1";10;12;18721.5590570391
2017-11-14;"1";12;14;87610.2277328875
2017-11-14;"1";14;16;96436.0136960948
2017-11-14;"1";16;18;96531.0953174162
2017-11-14;"1";18;20;25898.3608256966
2017-11-14;"1";20;22;3783.94890308248
2017-11-14;"1";22;24;3783.94890308248
2017-11-15;"1";0;2;6067.87948781211
2017-11-15;"1";2;4;55591.4641802929
2017-11-15;"1";4;6;78830.058677021
2017-11-15;"1";6;8;10837.8140761649
2017-11-15;"1";8;10;10837.8140761649
2017-11-15;"1";10;12;19092.4964695143
2017-11-15;"1";12;14;87469.6703786192
2017-11-15;"1";14;16;101798.865796054
2017-11-15;"1";16;18;76884.4069242254
2017-11-15;"1";18;20;8351.81007254174
2017-11-15;"1";20;22;8351.81007254174
2017-11-15;"1";22;24;8351.81007254174
2017-11-16;"1";0;2;14552.7774352997
2017-11-16;"1";2;4;87171.259754738
2017-11-16;"1";4;6;32617.4349245601
2017-11-16;"1";6;8;10841.4121380405
2017-11-16;"1";8;10;10841.4121380405
2017-11-16;"1";10;12;9804.64109716621
2017-11-16;"1";12;14;75323.1548381111
2017-11-16;"1";14;16;94606
2017-11-16;"1";16;18;73025.9227120213
2017-11-16;"1";18;20;8034.71017007983
2017-11-16;"1";20;22;8034.71017007983
2017-11-16;"1";22;24;8034.71017007983
2017-11-17;"1";0;2;20136.8382469562
2017-11-17;"1";2;4;92721.4024526198
2017-11-17;"1";4;6;29994.8050979918
2017-11-17;"1";6;8;7371.73211123841
2017-11-17;"1";8;10;7371.73211123841
2017-11-17;"1";10;12;7371.73211123841
2017-11-17;"1";12;14;78676.0708259556
2017-11-17;"1";14;16;102399.163979989
2017-11-17;"1";16;18;29330.801933639
2017-11-17;"1";18;20;7105.47841454178
2017-11-17;"1";20;22;7105.47841454178
2017-11-17;"1";22;24;7105.47841454178
2017-11-18;"1";0;2;5575.04266384393
2017-11-18;"1";2;4;14829.3820003802
2017-11-18;"1";4;6;54195.4190317195
2017-11-18;"1";6;8;77049.5430764569
2017-11-18;"1";8;10;3463.28653671346
2017-11-18;"1";10;12;3463.28653671346
2017-11-18;"1";12;14;3463.28653671346
2017-11-18;"1";14;16;3463.28653671346
2017-11-18;"1";16;18;3463.28653671346
2017-11-18;"1";18;20;72572.7249834507
2017-11-18;"1";20;22;76862.6085361126
2017-11-18;"1";22;24;4044.60691314608
2017-11-19;"1";0;2;3472.7674587947
2017-11-19;"1";2;4;5459.60699133876
2017-11-19;"1";4;6;9350.85720636861
2017-11-19;"1";6;8;9350.85720636861
2017-11-19;"1";8;10;9350.85720636861
2017-11-19;"1";10;12;9350.85720636861
2017-11-19;"1";12;14;34323.961951337
2017-11-19;"1";14;16;76436.9141345182
2017-11-19;"1";16;18;2900.92800444331
2017-11-19;"1";18;20;2900.92800444331
2017-11-19;"1";20;22;2900.92800444331
2017-11-19;"1";22;24;2900.92800444331
2017-11-20;"1";0;2;6451.9563841326
2017-11-20;"1";2;4;9261.520665082
2017-11-20;"1";4;6;26753.1504818384
2017-11-20;"1";6;8;85435.1164605361
2017-11-20;"1";8;10;41390.7875775537
2017-11-20;"1";10;12;21905.211952745
2017-11-20;"1";12;14;32904.5494556405
2017-11-20;"1";14;16;103269.333333333
2017-11-20;"1";16;18;78504.7959370192
2017-11-20;"1";18;20;10002.9847638219
2017-11-20;"1";20;22;10002.9847638219
2017-11-20;"1";22;24;10002.9847638219
2017-11-21;"1";0;2;11566.8521592924
2017-11-21;"1";2;4;86435.4253835425
